               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  97,            0.024022,            0.062149,          3.4041e-08,             0.94845,             0.91622,             0.96606,             0.63497,            0.019633,            0.052818,          3.4141e-08,            0.008416,            0.008416,            0.008416
                  98,             0.02356,            0.060275,          3.3832e-08,             0.96069,             0.89841,             0.96232,             0.64802,            0.018954,             0.05241,          3.3955e-08,           0.0083995,           0.0083995,           0.0083995
                  99,            0.022897,            0.056849,          3.3731e-08,             0.95154,             0.91036,             0.96237,             0.65992,            0.018865,            0.050795,          3.3996e-08,            0.008383,            0.008383,            0.008383
                 100,            0.023728,            0.059187,          3.3824e-08,              0.9617,             0.90032,             0.96834,             0.68661,            0.017909,            0.050059,          3.4053e-08,           0.0083665,           0.0083665,           0.0083665
                 101,            0.023215,            0.058898,          3.3801e-08,             0.96388,             0.90365,              0.9636,             0.68036,            0.018252,            0.051296,          3.3952e-08,             0.00835,             0.00835,             0.00835
                 102,            0.022877,            0.056551,          3.3821e-08,             0.95586,             0.90837,             0.96308,             0.67991,            0.018045,             0.05143,          3.3923e-08,           0.0083335,           0.0083335,           0.0083335
                 103,            0.022801,            0.055396,          3.3787e-08,             0.95637,             0.91696,             0.97053,             0.67894,            0.018019,            0.050852,          3.3823e-08,            0.008317,            0.008317,            0.008317
                 104,            0.023107,            0.059645,          3.3752e-08,             0.95732,             0.91036,             0.96918,             0.68419,            0.017533,            0.049686,          3.3788e-08,           0.0083005,           0.0083005,           0.0083005
                 105,            0.022427,            0.061241,           3.379e-08,             0.95975,             0.90244,             0.96655,             0.64263,            0.019465,            0.050621,          3.3933e-08,            0.008284,            0.008284,            0.008284
                 106,            0.023271,            0.058438,          3.3727e-08,             0.96211,             0.91051,             0.97014,             0.66916,            0.018177,            0.049018,          3.3812e-08,           0.0082675,           0.0082675,           0.0082675
                 107,            0.022675,            0.056265,          3.3826e-08,             0.96458,             0.91235,             0.96887,             0.67303,            0.018009,            0.050183,          3.4047e-08,            0.008251,            0.008251,            0.008251
                 108,            0.023177,            0.060057,          3.3893e-08,             0.96504,             0.90837,             0.96444,             0.67254,            0.018167,            0.050205,          3.4062e-08,           0.0082345,           0.0082345,           0.0082345
                 109,            0.024662,            0.059623,          3.3908e-08,             0.96216,             0.91183,             0.96656,             0.66144,            0.018711,            0.051409,          3.4307e-08,            0.008218,            0.008218,            0.008218
                 110,            0.023198,            0.058328,          3.4006e-08,              0.9643,              0.9004,             0.96521,             0.68179,            0.018236,            0.052367,          3.4149e-08,           0.0082015,           0.0082015,           0.0082015
